id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1361536064507154434	1361536064507154434	2021-02-16 10:11:08 Sri Lanka Standard Time	2021-02-16	10:11:08	+0530	69111167	dphaw	Maximus Tired of Twatter Bullshit		You'd have to be some kind of science denier to believe there was no election fraud.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/dphaw/status/1361536064507154434	False		0								[]				
1361536063022465024	1361536063022465024	2021-02-16 10:11:08 Sri Lanka Standard Time	2021-02-16	10:11:08	+0530	1206398436532269061	feralchihuahua	Wren💕		i’m tired of myself fr who wanna inhabit my body	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/feralchihuahua/status/1361536063022465024	False		0								[]				
1361536061361381376	1361536061361381376	2021-02-16 10:11:07 Sri Lanka Standard Time	2021-02-16	10:11:07	+0530	1212884360535265281	internetyuni	Yuni Amir		It's only Tuesday and I'm dead tired	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/InternetYuni/status/1361536061361381376	False		0								[]				
1361536059486601218	1361533085293154304	2021-02-16 10:11:07 Sri Lanka Standard Time	2021-02-16	10:11:07	+0530	276117867	reallovepunk	Too Tired 🇯🇲🇵🇷🇺🇸		@Jamellpelle They’re	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/reallovepunk/status/1361536059486601218	False		0								"[{'screen_name': 'Jamellpelle', 'name': ""Method Man's Hand Gestures"", 'id': '1228240006809960448'}]"				
1361536057456680960	1361536057456680960	2021-02-16 10:11:06 Sri Lanka Standard Time	2021-02-16	10:11:06	+0530	1316747930284503040	itsjaniyahg	Big ‘Niyahh✨		I’m tired of crying &amp; being angry I just wanna be at peace with myself. 😪	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/itsJaniyahG/status/1361536057456680960	False		0								[]				
1361536057280503813	1361509472355553285	2021-02-16 10:11:06 Sri Lanka Standard Time	2021-02-16	10:11:06	+0530	1358345562051993600	catboytofu	xiao.		@guhuawish ...... hmph. still tired, i take it?	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/catboytofu/status/1361536057280503813	False		0								[{'screen_name': 'guhuawish', 'name': 'xingqiu !', 'id': '1355837505694654465'}]				
1361536056517156867	1361535159007379464	2021-02-16 10:11:06 Sri Lanka Standard Time	2021-02-16	10:11:06	+0530	1282214684335190016	natxtbsl	nat🦋is tired		@GWS1994 YES AHHH	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/NATXTBSL/status/1361536056517156867	False		0								[{'screen_name': 'GWS1994', 'name': 'mars ♡ promote pinned!📌', 'id': '1334806881743720448'}]				
1361536053312544778	1361536053312544778	2021-02-16 10:11:05 Sri Lanka Standard Time	2021-02-16	10:11:05	+0530	989513358956101632	enzsntg	enz		whoo shet im tired	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/enzsntg/status/1361536053312544778	False		0								[]				
1361536053153267712	1361536053153267712	2021-02-16 10:11:05 Sri Lanka Standard Time	2021-02-16	10:11:05	+0530	999489445	brandy_truong	Brandy Truong		today has just been a cycle of what can i eat next and i’m tired of it	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/brandy_truong/status/1361536053153267712	False		0								[]				
1361536053031694336	1361536053031694336	2021-02-16 10:11:05 Sri Lanka Standard Time	2021-02-16	10:11:05	+0530	1329104894238871559	heyy_tre	tre		I’m tired.... but here I am fighting my sleep as usual	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/heyy_tre/status/1361536053031694336	False		0								[]				
1361536050133307399	1361535608200433666	2021-02-16 10:11:05 Sri Lanka Standard Time	2021-02-16	10:11:05	+0530	190977737	paulomdtweets	pauloinmanila 💙 simply no place like Manila		@jpatrickpineda Hindi naman ako napapagod. I just offer everything to God kung I feel tired na.	tl	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/pauloMDtweets/status/1361536050133307399	False		0								[{'screen_name': 'jpatrickpineda', 'name': 'JP 💛💛', 'id': '143793674'}]				
1361536048824655874	1361531653928091655	2021-02-16 10:11:04 Sri Lanka Standard Time	2021-02-16	10:11:04	+0530	1357867590865932288	xiaosbaobei	nica 🌸 tired from midterms		@TRlALBYFlRE lMAO but the dedication and loyalty for your main team i relate so badly lol i can't remove childe even though he's friendship 10 already LAKJDALK	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/xiaosbaobei/status/1361536048824655874	False		0								"[{'screen_name': 'TRlALBYFlRE', 'name': ""hiro is bennett's best friend !"", 'id': '1271972426642083841'}]"				
1361536046039789569	1361536046039789569	2021-02-16 10:11:04 Sri Lanka Standard Time	2021-02-16	10:11:04	+0530	917763423194279937	mavi_sanchez_	mavi no maría victoria		tired	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/mavi_sanchez_/status/1361536046039789569	False		0								[]				
1361536043883847681	1361534763639660549	2021-02-16 10:11:03 Sri Lanka Standard Time	2021-02-16	10:11:03	+0530	901559323368853505	shinenorthrup	Sunshine Northrup		@GregAbbott_TX @TexasGuard NEVER SHOULD HAVE HAPPENED. EVER. I am so tired of the constant failure your leadership provides our great state. Your time is up.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ShineNorthrup/status/1361536043883847681	False		0								[{'screen_name': 'GregAbbott_TX', 'name': 'Greg Abbott', 'id': '90651198'}, {'screen_name': 'TexasGuard', 'name': 'Texas National Guard', 'id': '26814634'}]				
